id,name_vendor_id,name_brand_id,doc_design_cover_id,num_invoice,num_style,num_po,name_country_dest_id,qty_shipped,amount_shipped,amount_final,name_country_origin_id,type_shipmode_id,date_exfty,date_etd,date_atd,date_payment_submit,date_payment_due,date_received,remark,creted_ts,updated_ts
,23,99,594,032019/AMAZON-HVA,AE1913182,4X7JEHK,23,831,3880.77,3880.77,24,1,2019-03-19,2019-03-19,2019-03-19,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
,23,99,672,032019/AMAZON-HV,BAE65009,2KPX3U6M,23,6277,38415.24,38415.24,24,1,2019-03-23,2019-03-23,2019-03-23,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,672,032019/AMAZON-HV,BAE65009,2KPX3U6M,23,1431,6926.04,6926.04,24,1,2019-03-23,2019-03-23,2019-03-23,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,589,032019/AMAZON-HV,BAE65010,2KPX3U6M,23,27188,140018.2,140018.2,24,1,2019-03-23,2019-03-23,2019-03-23,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,589,032019/AMAZON-HV,BAE65010,2KPX3U6M,23,3694,15699.5,15699.5,24,1,2019-03-23,2019-03-23,2019-03-23,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,588,032019/AMAZON-HV,GAE15008,2KPX3U6M,23,3399,19816.17,19816.17,24,1,2019-03-23,2019-03-23,2019-03-23,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,587,032019/AMAZON-HV,GAE20000,2KPX3U6M,23,20357,107688.53,107688.53,24,1,2019-03-23,2019-03-23,2019-03-23,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,586,032019/AMAZON-HV,GAE65011,2KPX3U6M,23,873,4103.1,4103.1,24,1,2019-03-23,2019-03-23,2019-03-23,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,586,032019/AMAZON-HV,GAE65011,2KPX3U6M,23,4224,25893.12,25893.12,24,1,2019-03-23,2019-03-23,2019-03-23,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,585,032019/AMAZON-HV,GAE65012,2KPX3U6M,23,6888,34715.52,34715.52,24,1,2019-03-23,2019-03-23,2019-03-23,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,585,032019/AMAZON-HV,GAE65012,2KPX3U6M,23,1296,5313.6,5313.6,24,1,2019-03-23,2019-03-23,2019-03-23,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,585,032019/AMAZON-HV,GAE65012,7KR9N8IL,23,35,143.5,143.5,24,1,2019-03-23,2019-03-23,2019-03-23,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,673,032519/AMAZON-LNG,WAE65002SP18,5D9NRBGD,23,192,852.48,852.48,24,1,2019-03-29,2019-03-29,2019-03-29,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,673,032519/AMAZON-LNG,WAE65002SP18,1Y6WGPWG,23,6191,27488.04,27488.04,24,1,2019-03-29,2019-03-29,2019-03-29,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,673,032519/AMAZON-LNG,WAE65002SP18,5D9NRBGD,23,1845,9169.65,9169.65,24,1,2019-03-29,2019-03-29,2019-03-29,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,673,032519/AMAZON-LNG,WAE65002SP18,1Y6WGPWG,23,59667,296544.99,296544.99,24,1,2019-03-29,2019-03-29,2019-03-29,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,673,032519/AMAZON-LNG,WAE65002SP18,1Y6WGPWG,23,8578,48637.26,48637.26,24,1,2019-03-29,2019-03-29,2019-03-29,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,673,032519/AMAZON-LNG,WAE65002SP18,1Y6WGPWG,23,6965,52516.1,52516.1,24,1,2019-03-29,2019-03-29,2019-03-29,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,613,032519/AMAZON-LNG,AE1916230,1JN2T3HU,23,2863,16233.21,16233.21,24,1,2019-03-29,2019-03-29,2019-03-29,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,672,0322019/AMAZON-HV,BAE65009,88SJ3UWN,23,2210,13525.2,13525.2,24,1,2019-03-31,2019-03-31,2019-03-31,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,672,0322019/AMAZON-HV,BAE65009,88SJ3UWN,23,504,2439.36,2439.36,24,1,2019-03-31,2019-03-31,2019-03-31,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,589,0322019/AMAZON-HV,BAE65010,88SJ3UWN,23,9567,49270.05,49270.05,24,1,2019-03-31,2019-03-31,2019-03-31,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,589,0322019/AMAZON-HV,BAE65010,88SJ3UWN,23,1293,5495.25,5495.25,24,1,2019-03-31,2019-03-31,2019-03-31,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,588,0322019/AMAZON-HV,GAE15008,88SJ3UWN,23,1197,6978.51,6978.51,24,1,2019-03-31,2019-03-31,2019-03-31,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,587,0322019/AMAZON-HV,GAE20000,88SJ3UWN,23,7175,37955.75,37955.75,24,1,2019-03-31,2019-03-31,2019-03-31,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,586,0322019/AMAZON-HV,GAE65011,88SJ3UWN,23,1480,9072.4,9072.4,24,1,2019-03-31,2019-03-31,2019-03-31,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,586,0322019/AMAZON-HV,GAE65011,88SJ3UWN,23,303,1424.1,1424.1,24,1,2019-03-31,2019-03-31,2019-03-31,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,585,0322019/AMAZON-HV,GAE65012,88SJ3UWN,23,2425,12222,12222,24,1,2019-03-31,2019-03-31,2019-03-31,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,585,0322019/AMAZON-HV,GAE65012,88SJ3UWN,23,451,1849.1,1849.1,24,1,2019-03-31,2019-03-31,2019-03-31,2019-04-05,2019-07-04,2019-07-08,,2021-12-20 14:46,2021-12-20 14:46
,23,99,610,032719/AMAZON-LNG,AE1916252,3ZNUDFAC,23,37068,182374.56,182374.56,24,1,2019-03-31,2019-03-31,2019-03-31,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
,23,99,610,032719/AMAZON-LNG,AE1916252,3ZNUDFAC,23,5170,28900.3,28900.3,24,1,2019-03-31,2019-03-31,2019-03-31,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
,23,99,610,032719/AMAZON-LNG,AE1916252,3ZNUDFAC,23,15367,115098.83,115098.83,24,1,2019-03-31,2019-03-31,2019-03-31,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
,23,99,608,032719/AMAZON-LNG,AE1917142,3ZNUDFAC,23,34136,185358.48,185358.48,24,1,2019-03-31,2019-03-31,2019-03-31,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
,23,99,612,032719/AMAZON-LNG,AE1917332,3ZNUDFAC,23,2689,15031.51,15031.51,24,1,2019-03-31,2019-03-31,2019-03-31,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
,23,99,593,032719/AMAZON-LNG,AE1902182,2UR5Y68L,23,22248,123253.92,123253.92,24,1,2019-03-31,2019-03-31,2019-03-31,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
,23,99,593,032719/AMAZON-LNG,AE1902182,2UR5Y68L,23,3194,18525.2,18525.2,24,1,2019-03-31,2019-03-31,2019-03-31,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
,23,99,593,032719/AMAZON-LNG,AE1902182,2UR5Y68L,23,5153,31897.07,31897.07,24,1,2019-03-31,2019-03-31,2019-03-31,2019-05-29,2019-08-27,2019-08-28,,2021-12-20 14:46,2021-12-20 14:46
,23,99,593,032619/AMAZON-LNG(EU),AE1902182,8U97L4ER,22,4151,22996.54,22996.54,24,1,2019-04-01,2019-04-04,2019-04-04,2019-04-04,2019-07-03,2019-07-02,,2021-12-20 14:46,2021-12-20 14:46
