id,doc_prod_num_id,num_sku,num_asin,num_product_amazon_id,num_fnsku,name_fg_color_id,name_fg_size_id,Product#,val_freight,val_duty,val_dest,val_storage,,,행 레이블,val_freight,val_duty,val_dest,val_storage,,행 레이블,Product Number,"오더
차수",합계 : 실제 수량,,행 레이블,Product Number,오더차수, 합계 : 실제 수량 , F/pcs , D/pcs , O/pcs , S/pcs ,, Freight , Duty , Other , Storage ,,행 레이블,평균 : F/pcs,평균 : D/pcs,평균 : O/pcs,평균 : S/pcs
25,2,NF2002_#DG3,B098THGJ4F,1.94E+11,B098THGJ4F,41,11,NF2002,2.1217,0.8425,0.2418,0.0128,,,SN2003,2.6598,2.4299,0.5819,0.0009,,WTHPH2110024,NF2101,1,485,,WTHPH2110024,NF2101,1, 485 , 0.13 , 1.27 , 1.00 , - ,,,,,,,SN2003, 2.28 , 2.43 , 0.91 , 0.04 
26,2,NF2002_#DG4,B098TGH2LN,1.94E+11,B098TGH2LN,41,13,NF2002,2.1217,0.8425,0.2418,0.0128,,,SN2004,2.6598,2.4299,0.5819,0.0009,,WTHPH2110024,NF2102,1,500,,WTHPH2110024,NF2102,1, 500 , 0.13 , 1.27 , 1.00 , - ,,,,,,,SN2004, 2.28 , 2.43 , 0.91 , 0.04 
27,2,NF2002_#DG5,B098THQ5DK,1.94E+11,B098THQ5DK,41,14,NF2002,2.1217,0.8425,0.2418,0.0128,,,SN2101,1.2774,1.442,0,0,,WTHPH2110024,NF2103,1,504,,WTHPH2110024,NF2103,1, 504 , 0.13 , 1.27 , 1.00 , - ,,,,,,,SN2101, 0.13 , 1.27 , 1.00 , - 
28,2,NF2002_#NV1,B08VHQ8T43,1.94E+11,X002SKYCDH,4,10,NF2002,2.1217,0.8425,0.2418,0.0128,,,SN2102,1.2774,1.442,0,0,,WTHPH2110024,NF2106,1,504,,WTHPH2110024,NF2106,1, 504 , 0.13 , 1.27 , 1.00 , - ,,,,,,,SN2102, 0.13 , 1.27 , 1.00 , - 
29,2,NF2002_#NV2,B08VHP4B14,1.94E+11,X002SL1CTD,4,12,NF2002,2.1217,0.8425,0.2418,0.0128,,,총합계,,,,,,WTHPH2110024,SN2101,1,500,,WTHPH2110024,SN2101,1, 500 , 0.13 , 1.27 , 1.00 , - ,,,,,,,총합계, 1.97 , 1.15 , 0.51 , 0.38 
30,2,NF2002_#NV3,B08VHPVS9C,1.94E+11,X002SL3RI7,4,11,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,WTHPH2110024,SN2102,1,504,,WTHPH2110024,SN2102,1, 504 , 0.13 , 1.27 , 1.00 , - ,,,,,,,,,,,
31,2,NF2002_#NV4,B08VHN5M6Q,1.94E+11,X002SKYCDR,4,13,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,WTQDLAX21062300A,NF2104,1,502,,WTQDLAX21062300A,NF2104,1, 502 , 1.65 , 1.86 , 0.53 , 0.47 ,," 2,448.00 "," 2,764.53 ", 783.20 , 693.50 ,,,,,,
32,2,NF2002_#NV5,B08VHNC2MJ,1.94E+11,X002SKZDYJ,4,14,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,WTQDLAX21062300A,NF2105,1,485,,WTQDLAX21062300A,NF2105,1, 485 , 1.65 , 1.86 , 0.53 , 0.47 ,,,,,,,,,,,
33,2,NF2002_#PF1,B08VHQZVKL,1.94E+11,X002SKYCEL,5,10,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,WTQDLAX21062300A,NF2108,1,501,,WTQDLAX21062300A,NF2108,1, 501 , 1.65 , 1.86 , 0.53 , 0.47 ,,,,,,,,,,,
34,2,NF2002_#PF2,B08VHP46DN,1.94E+11,X002SL1CU7,5,12,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,WTSGN2107005,NF2008,1,776,,WTSGN2107005,NF2008,1, 776 , 0.25 , 1.00 , 0.26 , 0.02 ,, 832.30 ," 3,402.49 ", 890.54 , 56.19 ,,,,,,
35,2,NF2002_#PF3,B08VHQ73Q3,1.94E+11,X002SKZDZ3,5,11,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,WTSGN2107005,NF2009,1,776,,WTSGN2107005,NF2009,1, 776 , 0.25 , 1.00 , 0.26 , 0.02 ,,,,,,,,,,,
36,2,NF2002_#PF4,B08VHN6YGG,1.94E+11,X002SL3RIR,5,13,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,WTSGN2107005,NF2011,1,464,,WTSGN2107005,NF2011,1, 464 , 0.25 , 1.00 , 0.26 , 0.02 ,,,,,,,,,,,
37,2,NF2002_#PF5,B08VHPVS2Y,1.94E+11,X002SKZDZD,5,14,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,WTSGN2107005,NF2012,1,447,,WTSGN2107005,NF2012,1, 447 , 0.25 , 1.00 , 0.26 , 0.02 ,,,,,,,,,,,
38,2,NF2002_#PP1,B08VHRX8C8,1.94E+11,X002SL1CTN,6,10,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,WTSGN2107005,NF2014,1,468,,WTSGN2107005,NF2014,1, 468 , 0.25 , 1.00 , 0.26 , 0.02 ,,,,,,,,,,,
39,2,NF2002_#PP2,B08VHQ3QBS,1.94E+11,X002SKZDYT,6,12,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,WTSGN2107005,NF2015,1,466,,WTSGN2107005,NF2015,1, 466 , 0.25 , 1.00 , 0.26 , 0.02 ,,,,,,,,,,,
40,2,NF2002_#PP3,B08VHRDRZY,1.94E+11,X002SKYCEB,6,11,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,총합계,,,32482,,,,,,,,,,,,,,,,,,,,
41,2,NF2002_#PP4,B08VHQT1DS,1.94E+11,X002SL1CTX,6,13,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2,NF2002_#PP5,B08VHQ342J,1.94E+11,X002SL3RIH,6,14,NF2002,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4,NF2003_#BG1,B08VHPX9HX,1.94E+11,X002SL5MKX,8,10,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,4,NF2003_#BG2,B08VHN6X5B,1.94E+11,X002SKZEZH,8,12,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4,NF2003_#BG3,B08VHNVF8D,1.94E+11,X002SL1DO7,8,11,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,4,NF2003_#BG4,B08VHP3ZCM,1.94E+11,X002SL5MKN,8,13,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,4,NF2003_#BG5,B08VHQ8NHN,1.94E+11,X002SL1DOR,8,14,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,4,NF2003_#BK1,B08VHQGRPC,1.94E+11,X002SL5ML7,1,10,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,4,NF2003_#BK2,B08VHQFSG9,1.94E+11,X002SKYDDL,1,12,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,4,NF2003_#BK3,B08VHQ342L,1.94E+11,X002SKZEZR,1,11,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,4,NF2003_#BK4,B08VHPZSHV,1.94E+11,X002SL1DOH,1,13,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,4,NF2003_#BK5,B08VHQQVQD,1.94E+11,X002SKYDDB,1,14,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,4,NF2003_#DR1,B08VHNX1HT,1.94E+11,X002SKYDD1,9,10,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,4,NF2003_#DR2,B08VHNDY5N,1.94E+11,X002SKZEZ7,9,12,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,4,NF2003_#DR3,B08VHQLZMB,1.94E+11,X002SL1DNX,9,11,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,4,NF2003_#DR4,B08VHP3BNF,1.94E+11,X002SL5MKD,9,13,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,4,NF2003_#DR5,B08VHQ62D6,1.94E+11,X002SKYDCR,9,14,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,4,NF2003_#LP1,B08VHPCDQ5,1.94E+11,X002SL5MLH,10,10,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,4,NF2003_#LP2,B08VHP87QM,1.94E+11,X002SKYDDV,10,12,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,4,NF2003_#LP3,B08VHQ7N7S,1.94E+11,X002SKZF0B,10,11,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,4,NF2003_#LP4,B08VHR66K4,1.94E+11,X002SKZF0L,10,13,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,4,NF2003_#LP5,B08VHQMNFY,1.94E+11,X002SL1DP1,10,14,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,4,NF2003_#NG1,B08VHQ8HJT,1.94E+11,X002SKZEYX,7,10,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4,NF2003_#NG2,B08VHNTYRZ,1.94E+11,X002SL1DNN,7,12,NF2003,2.1217,0.8425,0.2418,0.0128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
