id,type_document_id,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,id,brand_company_id,no_design,id,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,remark,creted_ts,updated_ts
65,18,24,3,0,OPEN,LEV-22059,65,101,212411AY1,65,3,4,2,2,24,1,0,31,,2021-11-06 0:00,2021-11-06 0:00
66,18,24,3,0,OPEN,LEV-22006,66,101,222221BY2,66,3,4,2,2,31,1,0,31,,2021-11-06 0:00,2021-11-06 0:00
67,18,24,3,0,OPEN,LEV-22001,67,101,222230BY1,67,3,4,2,2,10,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
68,18,24,3,0,OPEN,LEV-1101,68,101,251921GZ1,68,4,3,2,2,31,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
69,18,24,3,0,CLOSE,LEV-1002,69,101,261121DY2,69,3,3,2,2,31,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
70,18,24,3,0,CLOSE,LEV-1023,70,101,261221DY1,70,3,3,2,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
71,18,24,3,0,OPEN,LEV-1085,71,101,261921EYA,71,4,3,2,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
72,18,24,3,0,OPEN,LEV-1086,72,101,261921EZA,72,4,3,2,2,31,1,0,31,,2021-11-06 0:00,2021-11-06 0:00
73,18,24,3,0,OPEN,LEV-22002,73,101,262211CY1,73,3,4,2,2,24,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
74,18,24,3,0,OPEN,LEV-22058,74,101,262411CY1,74,3,4,2,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
75,18,24,3,0,CLOSE,LEV-1005,75,101,321111AY5,75,3,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
76,18,24,3,0,CLOSE,LEV-1003,76,101,321111LY1,76,3,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
77,18,24,3,0,CLOSE,LEV-1009,77,101,321111LY2,77,3,3,12,2,24,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
78,18,24,3,0,CLOSE,LEV-1006,78,101,321121BY1,78,3,3,12,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
79,18,24,3,0,CLOSE,LEV-1004,79,101,321121LY7,79,3,3,12,2,31,1,0,16,,2021-11-06 0:00,2021-11-06 0:00
80,18,24,3,0,CLOSE,LEV-1013,80,101,321211LY5,80,3,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
81,18,24,3,0,CLOSE,LEV-1007,81,101,321221LY2,81,3,3,12,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
82,18,24,3,0,CLOSE,LEV-1008,82,101,321221LY2-1,82,3,3,12,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
83,18,24,3,0,CLOSE,LEV-1014,83,101,321221LY3,83,3,3,12,2,31,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
84,18,24,3,0,CLOSE,LEV-1010,84,101,321311DY8,84,3,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
85,18,24,3,0,CLOSE,LEV-1011,85,101,321311EYA,85,3,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
86,18,24,3,0,CLOSE,LEV-1015,86,101,321311LY3,86,3,3,12,2,24,1,0,15,,2021-11-06 0:00,2021-11-06 0:00
87,18,24,3,0,CLOSE,LEV-1018,87,101,321321DY5,87,3,3,12,2,31,1,0,17,,2021-11-06 0:00,2021-11-06 0:00
