id,type_document_id,vendor_comp_id,type_dept_id,type_team_id,status,no_indent,brand_company_id,no_design,type_season_id,name_season_y_id,type_gender_id,type_fabric_main_id,type_apparel_id,type_order_id,type_order_detail_id,mid_comp_id,creted_ts,updated_ts
,18,24,3,Null,OPEN,LEV-1086,101,261921EZA,4,3,2,2,31,1,6,31,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22002,101,262211CY1,3,4,2,2,24,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,OPEN,LEV-22058,101,262411CY1,3,4,2,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1005,101,321111AY5,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1003,101,321111LY1,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1009,101,321111LY2,3,3,12,2,24,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1006,101,321121BY1,3,3,12,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1004,101,321121LY7,3,3,12,2,31,1,6,16,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1013,101,321211LY5,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1007,101,321221LY2,3,3,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1008,101,321221LY2-1,3,3,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1014,101,321221LY3,3,3,12,2,31,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1010,101,321311DY8,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1011,101,321311EYA,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1015,101,321311LY3,3,3,12,2,24,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1018,101,321321DY5,3,3,12,2,31,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1025,101,321364BY2,3,3,12,2,3,1,6,17,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1026,101,321364EY1,3,3,12,2,3,1,6,15,2021-10-19,2021-10-19
,18,24,3,Null,CLOSE,LEV-1029,101,321411DY4,3,3,12,2,24,1,6,17,2021-10-19,2021-10-19
