id,size_id,name,id,,,,,
147,147,33X36,147,,,,,
283,283,34 REG,283,,,,,
325,325,34LONG,325,,,,,
353,353,34P,353,,,,,
381,381,34REG,381,,,,,
409,409,34SHORT,409,,,,,
435,435,34TALL,435,,,,,
208,208,34-TALL,208,,,,,
148,148,34X28,148,,,,,
149,149,34X30,149,,,,,
150,150,34X32,150,,,,,
151,151,34X34,151,,,,,
152,152,34X36,152,,,,,
180,180,34X38,180,,,,,
284,284,35 REG,284,,,,,
326,326,35LONG,326,,,,,
354,354,35P,354,,,,,
382,382,35REG,382,,,,,
410,410,35SHORT,410,,,,,
436,436,35TALL,436,,,,,
153,153,35X28,153,,,,,
154,154,35X30,154,,,,,
155,155,35X32,155,,,,,
156,156,35X34,156,,,,,
157,157,35X36,157,,,,,
1,1,3-6M,1,,,,,
209,209,36-TALL,209,,,,,
158,158,36X28,158,,,,,
159,159,36X30,159,,,,,
160,160,36X32,160,,,,,
161,161,36X34,161,,,,,
162,162,36X36,162,,,,,
210,210,38-TALL,210,,,,,
163,163,38X28,163,,,,,
164,164,38X30,164,,,,,
165,165,38X32,165,,,,,
166,166,38X34,166,,,,,
167,167,38X36,167,,,,,
224,224,3T,224,,,,,
451,451,3X,451,,,,,
219,219,3YRS,219,,,,,
257,257,4 ANK,257,,,,,
61,61,4 REG,61,,,,,
287,287,4 SHORT,287,,,,,
72,72,4 SLIM,72,,,,,
290,290,4 TALL,290,,,,,
216,216,4 YRS,216,,,,,
211,211,40-TALL,211,,,,,
168,168,40X30,168,,,,,
169,169,40X32,169,,,,,
170,170,40X34,170,,,,,
171,171,40X36,171,,,,,
212,212,42-TALL,212,,,,,
172,172,42X30,172,,,,,
173,173,42X32,173,,,,,
174,174,42X34,174,,,,,
185,185,42X36,185,,,,,
213,213,44-TALL,213,,,,,
175,175,44X30,175,,,,,
176,176,44X32,176,,,,,
179,179,44X34,179,,,,,
184,184,44X36,184,,,,,
189,189,46X30,189,,,,,
186,186,46X32,186,,,,,
188,188,46X34,188,,,,,
178,178,48X30,178,,,,,
177,177,48X32,177,,,,,
182,182,48X34,182,,,,,
304,304,4LONG,304,,,,,
332,332,4P,332,,,,,
360,360,4REG,360,,,,,
388,388,4SHORT,388,,,,,
222,222,4T,222,,,,,
415,415,4TALL,415,,,,,
452,452,4X,452,,,,,
459,459,4XSHORT,459,,,,,
220,220,4YRS,220,,,,,
60,60,5 REG,60,,,,,
63,63,5 SLIM,63,,,,,
217,217,5 YRS,217,,,,,
80,80,5+,80,,,,,
223,223,5T,223,,,,,
221,221,5YRS,221,,,,,
258,258,6 ANK,258,,,,,
49,49,6 HUSKY,49,,,,,
58,58,6 REG,58,,,,,
288,288,6 SHORT,288,,,,,
69,69,6 SLIM,69,,,,,
291,291,6 TALL,291,,,,,
81,81,6+,81,,,,,
2,2,6-12M,2,,,,,
8,8,6-9M,8,,,,,
305,305,6LONG,305,,,,,
333,333,6P,333,,,,,
361,361,6REG,361,,,,,
389,389,6SHORT,389,,,,,
